phenocode,name,category,num_cases,num_controls,path_bucket,path_https
AB1_DERMATOPHYTOSIS,Dermatophytosis,I Certain infectious and parasitic diseases (AB1_),3027,335444,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_DERMATOPHYTOSIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_DERMATOPHYTOSIS.gz
AB1_EARLY_SYPHILIS,Early syphilis,I Certain infectious and parasitic diseases (AB1_),254,332788,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_EARLY_SYPHILIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_EARLY_SYPHILIS.gz
AB1_EBV,Infectious mononucleosis,I Certain infectious and parasitic diseases (AB1_),2099,333715,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_EBV.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_EBV.gz
AB1_ENTEROBIASIS,Enterobiasis,I Certain infectious and parasitic diseases (AB1_),86,342070,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_ENTEROBIASIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_ENTEROBIASIS.gz
AB1_ERYSIPELAS,Erysipelas,I Certain infectious and parasitic diseases (AB1_),17852,303314,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_ERYSIPELAS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_ERYSIPELAS.gz
AB1_GASTROENTERITIS_NOS,Diarrhoea and gastroenteritis of presumed infectious origin,I Certain infectious and parasitic diseases (AB1_),26288,305879,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_GASTROENTERITIS_NOS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_GASTROENTERITIS_NOS.gz
AB1_GONOCOCCAL,Gonococcal infection,I Certain infectious and parasitic diseases (AB1_),791,332788,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_GONOCOCCAL.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_GONOCOCCAL.gz
AB1_HELMINTIASES,Helminthiases,I Certain infectious and parasitic diseases (AB1_),429,342070,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_HELMINTIASES.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_HELMINTIASES.gz
AB1_HEPATITIS_A,Acute hepatitis A,I Certain infectious and parasitic diseases (AB1_),114,340528,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_HEPATITIS_A.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_HEPATITIS_A.gz
AB1_HEPATITIS_B,Acute hepatitis B,I Certain infectious and parasitic diseases (AB1_),103,340528,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_HEPATITIS_B.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_HEPATITIS_B.gz
AB1_HEPATITIS_OTHER_VIRAL,Other  viral hepatitis,I Certain infectious and parasitic diseases (AB1_),1663,340528,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_HEPATITIS_OTHER_VIRAL.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_HEPATITIS_OTHER_VIRAL.gz
AB1_HERPES_SIMPLEX,Herpesviral [herpes simplex] infections,I Certain infectious and parasitic diseases (AB1_),2924,330087,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_HERPES_SIMPLEX.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_HERPES_SIMPLEX.gz
AB1_HIV_NOS,Unspecified human immunodeficiency virus [HIV] disease,I Certain infectious and parasitic diseases (AB1_),228,342020,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_HIV_NOS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_HIV_NOS.gz
AB1_INTESTINAL_INFECTIONS,Intestinal infectious diseases,I Certain infectious and parasitic diseases (AB1_),36620,305879,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_INTESTINAL_INFECTIONS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_INTESTINAL_INFECTIONS.gz
AB1_LATE_SYPHILIS,Late syphilis,I Certain infectious and parasitic diseases (AB1_),300,332788,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_LATE_SYPHILIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_LATE_SYPHILIS.gz
AB1_LISTERIOSIS,Listeriosis,I Certain infectious and parasitic diseases (AB1_),105,303314,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_LISTERIOSIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_LISTERIOSIS.gz
AB1_MALARIA,Malaria,I Certain infectious and parasitic diseases (AB1_),118,341917,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_MALARIA.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_MALARIA.gz
AB1_MEASLES,Measles,I Certain infectious and parasitic diseases (AB1_),289,330087,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_MEASLES.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_MEASLES.gz
AB1_MENINGOCOCCAL,Meningococcal infection,I Certain infectious and parasitic diseases (AB1_),196,303314,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_MENINGOCOCCAL.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_MENINGOCOCCAL.gz
AB1_MUMPS,Mumps,I Certain infectious and parasitic diseases (AB1_),680,333715,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_MUMPS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_MUMPS.gz
AB1_MYCOSES,Mycoses,I Certain infectious and parasitic diseases (AB1_),7055,335444,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_MYCOSES.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_MYCOSES.gz
AB1_OTHER_BACT_INOTHER,Other bacterial agents as the cause of diseases classified to other chapters,I Certain infectious and parasitic diseases (AB1_),228,340192,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_BACT_INOTHER.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_BACT_INOTHER.gz
AB1_OTHER_BACTERIAL,Other bacterial diseases,I Certain infectious and parasitic diseases (AB1_),39185,303314,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_BACTERIAL.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_BACTERIAL.gz
AB1_OTHER_CESTODE,Other cestode infections,I Certain infectious and parasitic diseases (AB1_),89,342070,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_CESTODE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_CESTODE.gz
AB1_OTHER_CHLAMYDIAE,Other diseases caused by chlamydiae,I Certain infectious and parasitic diseases (AB1_),287,342212,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_CHLAMYDIAE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_CHLAMYDIAE.gz
AB1_OTHER_CONDITIONS,Human immunodeficiency virus [HIV] disease resulting in other conditions,I Certain infectious and parasitic diseases (AB1_),436,342020,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_CONDITIONS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_CONDITIONS.gz
AB1_OTHER_INFECTIONS,Other infectious diseases,I Certain infectious and parasitic diseases (AB1_),2079,340420,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_INFECTIONS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_INFECTIONS.gz
AB1_OTHER_MYCOBAC,Infection due to other mycobacteria,I Certain infectious and parasitic diseases (AB1_),353,303314,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_MYCOBAC.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_MYCOBAC.gz
AB1_OTHER_PROTOZOAL,Other protozoal intestinal diseases,I Certain infectious and parasitic diseases (AB1_),281,305879,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_PROTOZOAL.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_PROTOZOAL.gz
AB1_OTHER_SEPSIS,Other septicaemia,I Certain infectious and parasitic diseases (AB1_),10666,303314,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_SEPSIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_SEPSIS.gz
AB1_OTHER_SPIROCHAETAL,Other spirochaetal diseases,I Certain infectious and parasitic diseases (AB1_),1983,340516,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_SPIROCHAETAL.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_SPIROCHAETAL.gz
AB1_OTHER_SUPERF_MYCOSIS,Other superficial mycoses,I Certain infectious and parasitic diseases (AB1_),398,335444,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_SUPERF_MYCOSIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_SUPERF_MYCOSIS.gz
AB1_OTHER_VIRAL,Other viral diseases,I Certain infectious and parasitic diseases (AB1_),8784,333715,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_VIRAL.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_OTHER_VIRAL.gz
AB1_PARASITIC_NOS,Unspecified parasitic disease,I Certain infectious and parasitic diseases (AB1_),206,341156,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_PARASITIC_NOS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_PARASITIC_NOS.gz
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST,"Pediculosis, acariasis and other infestations",I Certain infectious and parasitic diseases (AB1_),1343,341156,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz
AB1_PNEUMOCYSTOSIS,Pneumocystosis,I Certain infectious and parasitic diseases (AB1_),302,341917,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_PNEUMOCYSTOSIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_PNEUMOCYSTOSIS.gz
AB1_POLIOMYELITIS,Acute poliomyelitis,I Certain infectious and parasitic diseases (AB1_),348,340582,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_POLIOMYELITIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_POLIOMYELITIS.gz
AB1_PROTOZOAL,Protozoal diseases,I Certain infectious and parasitic diseases (AB1_),582,341917,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_PROTOZOAL.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_PROTOZOAL.gz
AB1_RESP_TUBERCU_CONF,"Respiratory tuberculosis, bacteriologically and histologically confirmed",I Certain infectious and parasitic diseases (AB1_),490,340289,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_RESP_TUBERCU_CONF.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_RESP_TUBERCU_CONF.gz
AB1_RESP_TUBERCU_NONCONF,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",I Certain infectious and parasitic diseases (AB1_),1208,340289,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_RESP_TUBERCU_NONCONF.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_RESP_TUBERCU_NONCONF.gz
AB1_RUBELLA,Rubella [German measles],I Certain infectious and parasitic diseases (AB1_),855,330087,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_RUBELLA.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_RUBELLA.gz
AB1_SALMONELLA_OTH,Other salmonella infections,I Certain infectious and parasitic diseases (AB1_),952,305879,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_SALMONELLA_OTH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_SALMONELLA_OTH.gz
AB1_SCABIES,Scabies,I Certain infectious and parasitic diseases (AB1_),973,341156,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_SCABIES.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_SCABIES.gz
AB1_SCARLET_FEVER,Scarlet fever,I Certain infectious and parasitic diseases (AB1_),166,303314,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_SCARLET_FEVER.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_SCARLET_FEVER.gz
AB1_SEQULAE_INF_NOS,Sequelae of other and unspecified infectious and parasitic diseases,I Certain infectious and parasitic diseases (AB1_),1483,340309,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_SEQULAE_INF_NOS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_SEQULAE_INF_NOS.gz
AB1_SEQULAE_POLIO,Sequelae of poliomyelitis,I Certain infectious and parasitic diseases (AB1_),193,340309,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_SEQULAE_POLIO.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_SEQULAE_POLIO.gz
AB1_SEQULAE_TUBERCU,Sequelae of tuberculosis,I Certain infectious and parasitic diseases (AB1_),517,340309,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_SEQULAE_TUBERCU.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_SEQULAE_TUBERCU.gz
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES,Sequelae of infectious and parasitic diseases,I Certain infectious and parasitic diseases (AB1_),2190,340309,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz
AB1_SEXUAL_TRANSMISSION,Infections with a predominantly sexual mode of transmission,I Certain infectious and parasitic diseases (AB1_),9711,332788,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_SEXUAL_TRANSMISSION.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_SEXUAL_TRANSMISSION.gz
AB1_SEXUAL_TRANSMISSION_NOS,"Other predominantly sexually transmitted diseases, not elsewhere classified",I Certain infectious and parasitic diseases (AB1_),5097,332788,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_SEXUAL_TRANSMISSION_NOS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_SEXUAL_TRANSMISSION_NOS.gz
AB1_STREPTO_SEPSIS,Streptococcal septicaemia,I Certain infectious and parasitic diseases (AB1_),2040,303314,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_STREPTO_SEPSIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_STREPTO_SEPSIS.gz
AB1_STREPTSTAPHYCOCC_INOTHER,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,I Certain infectious and parasitic diseases (AB1_),139,340192,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_STREPTSTAPHYCOCC_INOTHER.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_STREPTSTAPHYCOCC_INOTHER.gz
AB1_SYPHILIS,Syphilis,I Certain infectious and parasitic diseases (AB1_),577,332788,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_SYPHILIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_SYPHILIS.gz
AB1_TOXOPLASMOSIS,Toxoplasmosis,I Certain infectious and parasitic diseases (AB1_),140,341917,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_TOXOPLASMOSIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_TOXOPLASMOSIS.gz
AB1_TRICHOMONIASIS,Trichomoniasis,I Certain infectious and parasitic diseases (AB1_),199,332788,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_TRICHOMONIASIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_TRICHOMONIASIS.gz
AB1_TUBERCU_OTH_ORG,Tuberculosis of other organs,I Certain infectious and parasitic diseases (AB1_),612,340289,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_TUBERCU_OTH_ORG.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_TUBERCU_OTH_ORG.gz
AB1_TUBERCULOSIS,Tuberculosis,I Certain infectious and parasitic diseases (AB1_),2210,340289,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_TUBERCULOSIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_TUBERCULOSIS.gz
AB1_TULARAEMIA,Tularaemia,I Certain infectious and parasitic diseases (AB1_),263,342109,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_TULARAEMIA.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_TULARAEMIA.gz
AB1_TYPHOIDPARATHYPHOID,Typhoid and paratyphoid fevers,I Certain infectious and parasitic diseases (AB1_),104,305879,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_TYPHOIDPARATHYPHOID.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_TYPHOIDPARATHYPHOID.gz
AB1_VARICELLA,Varicella [chickenpox],I Certain infectious and parasitic diseases (AB1_),1146,330087,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_VARICELLA.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_VARICELLA.gz
AB1_VIRAAL_CONJUNCT,Viral conjunctivitis,I Certain infectious and parasitic diseases (AB1_),514,333715,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAAL_CONJUNCT.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAAL_CONJUNCT.gz
AB1_VIRAL_CNS,Viral infections of the central nervous system,I Certain infectious and parasitic diseases (AB1_),1917,340582,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_CNS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_CNS.gz
AB1_VIRAL_ENCEPHALITIS_NOS,"Viral encephalitis, not elsewhere classified/unspecified",I Certain infectious and parasitic diseases (AB1_),484,340582,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_ENCEPHALITIS_NOS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_ENCEPHALITIS_NOS.gz
AB1_VIRAL_HEMOR_FEVER_NOS,"Viral haemorrhagic fevers, not elsewhere classified/unspecified",I Certain infectious and parasitic diseases (AB1_),1914,340110,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_HEMOR_FEVER_NOS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_HEMOR_FEVER_NOS.gz
AB1_VIRAL_HEPATITIS,Viral hepatitis,I Certain infectious and parasitic diseases (AB1_),1971,340528,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_HEPATITIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_HEPATITIS.gz
AB1_VIRAL_INOTHER,Viral agents as the cause of diseases classified to other chapters,I Certain infectious and parasitic diseases (AB1_),482,340192,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_INOTHER.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_INOTHER.gz
AB1_VIRAL_MENINGITIS,Viral meningitis,I Certain infectious and parasitic diseases (AB1_),909,340582,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_MENINGITIS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_MENINGITIS.gz
AB1_VIRAL_NOS,"Other viral diseases, not elsewhere classified",I Certain infectious and parasitic diseases (AB1_),5244,333715,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_NOS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_NOS.gz
AB1_VIRAL_OTHER_INTEST_INFECTIONS,Viral and other specified intestinal infections,I Certain infectious and parasitic diseases (AB1_),6807,305879,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_OTHER_INTEST_INFECTIONS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_OTHER_INTEST_INFECTIONS.gz
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE,Viral infections characterized by skin and mucous membrane lesions,I Certain infectious and parasitic diseases (AB1_),12412,330087,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.gz
AB1_VIRAL_SKIN_NOS,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",I Certain infectious and parasitic diseases (AB1_),927,330087,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_SKIN_NOS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_SKIN_NOS.gz
AB1_VIRAL_WARTS,Viral warts,I Certain infectious and parasitic diseases (AB1_),2554,330087,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_WARTS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAL_WARTS.gz
AB1_VIRAN_CNS_INFECTIONS_NOS,"Viral infections of central nervous system, not elsewhere classified/unspecified",I Certain infectious and parasitic diseases (AB1_),276,340582,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAN_CNS_INFECTIONS_NOS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_VIRAN_CNS_INFECTIONS_NOS.gz
AB1_WHOOPCOUGH,Whooping cough,I Certain infectious and parasitic diseases (AB1_),138,303314,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_WHOOPCOUGH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_WHOOPCOUGH.gz
AB1_ZOONOTIC_BACTERIAL,Certain zoonotic bacterial diseases,I Certain infectious and parasitic diseases (AB1_),390,342109,gs://finngen-public-data-r8/summary_stats/finngen_R8_AB1_ZOONOTIC_BACTERIAL.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_AB1_ZOONOTIC_BACTERIAL.gz
